IID,salso,nTotal_pred
NDAR_INV84EPPR51,1,62127.873741268224
NDAR_INV84V3NTN5,5,-2.0462594210159932
NDAR_INV859KRFB8,2,-0.5480522346789437
NDAR_INV85FZZDV1,5,-1.0621011161804725
NDAR_INV8666P5JN,1,1.0032655304483782
NDAR_INV870F1Z1N,5,-2.1175161980749753
NDAR_INV87L30DBB,1,-1.0858887462527942
NDAR_INV88JX7RKX,5,-3.202625818566994
NDAR_INV897CW9GM,2,-8239.733816258871
NDAR_INV8AW4KTUF,1,24466.598182819198
NDAR_INV8BG4EF9Y,5,36996.652642976274
NDAR_INV8BMGPD45,1,-5577.919291343001
NDAR_INV8DJ5XGV5,1,-1.083880449511754
NDAR_INV8E597FU6,2,-1.2170021344196817
NDAR_INV8HJ6249P,5,-1.139605730943667
NDAR_INV8KHWVMVW,5,-4849.197235768573
NDAR_INV8M2Z9BTA,2,-79862.76823734785
NDAR_INV8MYFRL4J,1,-1.9002357722186096
NDAR_INV8PM4DHGY,5,4881.38108947977
NDAR_INV8PMAFPCV,2,-1.5880381402196755
NDAR_INV8T0MD0HG,5,6084.13592874744
NDAR_INV8UF58XPK,5,-0.6010528732121213
NDAR_INV8V6BU6UP,3,-5.552453278060809
NDAR_INV8YAAWZ1X,3,-3.060690245118477
NDAR_INV8YKR9JAK,5,-1.1902018799887408
NDAR_INV8Z3G152U,2,-134.74676213050105
NDAR_INV8ZAB17TC,2,3772.848063442072
NDAR_INV90MAZ9N7,5,-2.9879884341784724
NDAR_INV90RWGDAR,5,5318.585304942077
NDAR_INV90T8PKLB,1,-7869.086058529306
NDAR_INV910NJYX0,1,0.9370380983285663
NDAR_INV925PNR1C,2,17.70025656576464
NDAR_INV9316NFE7,5,-24837.497979177493
NDAR_INV93JYGAXC,5,-3.4576578000370812
NDAR_INV94LUVVX8,1,-14613.983732602082
NDAR_INV94NCJR76,1,2780.2771777296457
NDAR_INV94V97129,1,-0.7272995672346126
NDAR_INV9593TAX5,5,4040.8179917179154
NDAR_INV95L3764E,5,3836.4596968172236
NDAR_INV963N6B2W,3,-31928.938691126445
NDAR_INV97RBCNE4,2,-0.4841082532306619
NDAR_INV98M1KJUD,3,-0.7867523224481294
NDAR_INV99KTC3NN,1,2624.3201794514443
NDAR_INV9A9TXNTZ,5,-2.022052020222652
NDAR_INV9AP81GGJ,2,209824.9248355948
NDAR_INV9DWM4Z1U,2,0.9891520964211971
NDAR_INV9EM32PUW,5,-4.03068884590521
NDAR_INV9G2Y1NLA,3,-4.060358330912157
NDAR_INV9GH5YF96,1,-15204.125199848182
NDAR_INV9HB34LLU,5,-2.52143006565333
NDAR_INV9JFKBC3X,5,-2.674984426631778
NDAR_INV9JLEZ6WE,2,-1.6420325261292035
NDAR_INV9K595FHA,2,-0.09710920898303813
NDAR_INV9NN9PU4H,1,1.726015501383313
NDAR_INV9RWN9ZGX,1,-0.48225615806415656
NDAR_INV9UL0YHV1,1,-1.4421748056012322
NDAR_INV9V1RV3V5,2,-0.3424285531825517
NDAR_INV9VU6KMC8,5,-0.19750862095718041
NDAR_INV9W3PU5P5,2,-0.48505246529171353
NDAR_INV9WJ1WBFC,5,-180430.41714142732
NDAR_INV9XA5VMF4,5,-1.608904589733118
NDAR_INV9YBX357L,5,-0.6559523953862566
NDAR_INV9Z2UV26Z,1,1.880566546892005
NDAR_INV9ZW7Y2R7,2,0.6220520324900133
NDAR_INVA12WR7JP,5,-0.7612069538396561
NDAR_INVA1MV25KY,1,-4198.181741319955
NDAR_INVA1PU5AHW,1,-2779.15845589466
NDAR_INVA2T7V5L9,1,29023.369751425093
NDAR_INVA2ZPZTJJ,2,432.82368577138897
NDAR_INVA31C7WYJ,2,-2.0461912980600596
NDAR_INVA354YMUE,1,-0.6135407707814958
NDAR_INVA4EVCYRA,5,-33019.00670664729
NDAR_INVA6PN17HD,5,-12969.637278520086
NDAR_INVA7NXF2HT,2,-13041.558378554777
NDAR_INVA9E5RPZH,2,-22907.796615407147
NDAR_INVAANB675J,1,-3.452579751492916
NDAR_INVADJMFTFP,1,0.27536519480232224
NDAR_INVAELAXTM1,1,-7670.229347981136
NDAR_INVAF722ZVJ,2,-1.4847286846187098
NDAR_INVAFCVVYJ2,2,-26.145071644036747
NDAR_INVAGKUL2JG,2,-1087.699356266847
NDAR_INVAHUKGDEE,5,-3.0426369088285496
NDAR_INVAK6DKBUL,1,-5735.116997917738
NDAR_INVAKF1Z0JV,2,-9711.355738991733
NDAR_INVALAMYFP6,5,-3.6352154829950143
NDAR_INVALKAWEWB,5,-1.5687493854185655
NDAR_INVAMW3EDUZ,1,-0.2668172399114274
